,商品名称,商品编号,店铺,商品毛重,品牌,搭配主板,搭配主板(Intel),搭配主板(AMD),接口,板型,处理器,产品净重,产品尺寸（mm）,核心数,制程工艺,质保期,型号,是否自带风扇,是否支持核显,适用场景,主频,三级缓存,功率,商品产地,适用游戏,线程数量,类型,二级缓存,质保年限,图案,电压
47,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
48,AMD5600X、5800X、5900X，5950X,10037793912879,锐星电脑DIY旗舰店,1.0kg,AMD,X570,,,AMDAM4,ATX（标准型）,锐龙9,1.5kg,300*300*200,,,,,,,,,,,,,,,,,,
49,英特尔I510600I79700K9700KF9700F9600KF9900K盒装i79700F8核8线程,10027662568462,智中和电脑配件专营店,1.0kg,英特尔(Intel),B365，Z390，B360，H310,B365，Z390，B360，H310,,INTEL1151（九代）,,英特尔,,,八核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,发烧/超频,3,其他,65W,,,8线程,发烧/超频,,,,
50,英特尔（Intel）酷睿i3i5i7i9CPU处理器台式机电脑全新盒装i59400F无集显六核六线程,42481365543,智中和电脑配件专营店,200.00g,英特尔(Intel),B365，Z390，B360，H310,B365，Z390，B360，H310,,INTEL1151（九代）,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,游戏/影音,2.9GHz,其他,其他,,英雄联盟，穿越火线，吃鸡游戏,6线程,游戏/影音,,,,
51,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装B560MH板U套装i711700F2.5GHz8核16线程,54272060290,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B560,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
52,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装中文盒装三年质保i711700F2.5GHz8核16线程,54272060289,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B365,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
53,英特尔i7-11700F,100010283145,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,不支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
54,英特尔i7-11700F,100010283145,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,3年质保,酷睿i7,带风扇,不支持核显,游戏/影音,2.50GHz,16MB,65W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,,,
55,英特尔（Intel）酷睿i3i5i7i9CPU处理器台式机电脑全新盒装i59400F无集显六核六线程,42481365543,智中和电脑配件专营店,200.00g,英特尔(Intel),B365，Z390，B360，H310,B365，Z390，B360，H310,,INTEL1151（九代）,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,游戏/影音,2.9GHz,其他,其他,,英雄联盟，穿越火线，吃鸡游戏,6线程,游戏/影音,,,,
56,AMDR53500X36005600G5600X盒装/散片搭技嘉B550主板CPU套装B550MAORUSELITEAMDRyzen55600X盒装,10032426172728,灵竞DIY旗舰店,2.0kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,锐龙5,2.5kg,26*24*5mm,,,,,,,,,,,中国大陆,,,,,,,
57,英特尔i5-10500,100012590610,,280.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,支持核显,家用/办公,3.10GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
58,英特尔（Intel）i5-10400F,10029814104678,蜀刀电脑DIY旗舰店,1.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,3年质保,酷睿i5,带风扇,支持核显,,3.7,6MB,其他,,,8线程,,,,,
59,英特尔（Intel）i79700K酷睿八核盒装CPU处理器中文原盒三年质保官方标配,35746089017,恒懿电脑专营店,2.0kg,英特尔(Intel),,,,INTEL1151（九代）,,英特尔,,,八核,14纳米,3年质保,酷睿i7,不带风扇,支持核显,,3.6GHZ,其他,95W,,,,,,,,
60,AMDR73700X,100006391078,,0.8kg,AMD,X570，X470，B450,,X570，X470，B450,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R7,带风扇,不支持核显,游戏/影音,3.6GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,16线程,游戏/影音,,,,
61,AMD锐龙55600X处理器,100016046824,,440.00g,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,六核,7纳米,3年质保,锐龙R5,带风扇,不支持核显,家用/办公,3.7GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,12线程,家用/办公,3MB,,,
62,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,,,
63,英特尔（Intel）酷睿i710700F11700Fi711700盒装电脑处理器CPU主板套装中文盒装三年质保i711700F2.5GHz8核16线程,54272060289,灵竞DIY旗舰店,0.9kg,英特尔(Intel),B365,,,INTELLGA1200，INTEL1151（九代）,M-ATX（紧凑型）,Inteli7,1.5kg,100,,,,,,,,,,,,,,,,,,
64,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
65,AMDR73700X,100006391078,,0.8kg,AMD,X570，X470，B450,,X570，X470，B450,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R7,带风扇,不支持核显,游戏/影音,3.6GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,16线程,游戏/影音,,,,
66,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
67,英特尔（Intel）酷睿i5,69392617566,海晨数码专营店,500.00g,英特尔(Intel),intel其他,,,INTELLGA1200,MINI-ITX（迷你型）,Inteli5,1.35kg,30*30,,,,,,,,,,,中国大陆,,,,,,,
68,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,3年质保,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,其他,其他,马来西亚/越南/中国大陆,,,,,,,
69,AMDR73700X,100006391078,,0.8kg,AMD,X570，X470，B450,,X570，X470，B450,AMDAM4,,AMD,,,八核,7纳米,3年质保,锐龙R7,带风扇,不支持核显,游戏/影音,3.6GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,16线程,游戏/影音,,,,
70,英特尔Intel酷睿i910900KF11900K10980XE中文盒装CPU处理器台式机电脑i910900X10核20线程中文原装,71565841091,得丰隆电脑配件专营店,500.00g,英特尔(Intel),X299,X299,,INTELLGA2066,,英特尔,,,十核,14纳米,3年质保,酷睿i9,不带风扇,不支持核显,设计/影像,3.7GHZ,其他,其他,,,,,,,,
