,商品名称,商品编号,店铺,商品毛重,品牌,搭配主板,搭配主板(Intel),搭配主板(AMD),接口,板型,处理器,产品净重,产品尺寸（mm）,核心数,制程工艺,质保期,型号,是否自带风扇,是否支持核显,适用场景,主频,三级缓存,功率,商品产地,适用游戏,线程数量,类型,二级缓存,质保年限,图案,电压
176,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
177,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
178,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
179,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
180,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
181,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
182,Intel/英特尔i59400F9600KF搭微星华硕B365Z390CPU主板套装中文盒装I39100盒装带集显,10023263992244,星致琪电脑办公专营店,2.0kg,英特尔(Intel),B365,,,INTEL1151（九代）,M-ATX（紧凑型）,Inteli3,2kg,300*300,,,,,,,,,,,,,,,,,,
183,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
184,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
185,AMD锐龙RyzenR32200gR52400g2600X2700XCPU处理器散片标配,10035931679938,中盛车品优创店,1.0kg,AMD,,,,,,,,,,,,2600,,,,,,,,,,,,,卡通,
186,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
187,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
188,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
189,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
190,英特尔（Intel）37.5mmx37.5mm,10023112411032,华之硕电脑专营店,270.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,双核,14纳米,,奔腾,带风扇,支持核显,,4.00GHz,其他,45W,,,,,,3年质保,,
191,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
192,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
193,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
194,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
195,AMDCPU主板套装R5/R75600G5600X5700G5800X搭技嘉B550技嘉B550MHAMDRyzen55600G盒装,10035072170442,爵扬旗舰店,1.5kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,锐龙5,2.5kg,300*200*100,,,,,,,,,,,,,,,,,,
196,英特尔i511400Fi51140011500i511600KF盒装处理器CPU主板套装B560MH板U套装11代i511400,10029206893086,灵竞DIY旗舰店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,不带风扇,不支持核显,游戏/影音,2.6GHz,其他,65W,,英雄联盟，吃鸡游戏，Apex英雄,12线程,游戏/影音,,3年质保,,1.2V
197,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
198,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
199,英特尔i511400Fi51140011500i511600KF盒装处理器CPU主板套装B560MH板U套装11代i511400,10029206893086,灵竞DIY旗舰店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,不带风扇,不支持核显,游戏/影音,2.6GHz,其他,65W,,英雄联盟，吃鸡游戏，Apex英雄,12线程,游戏/影音,,3年质保,,1.2V
200,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
201,英特尔（Intel）酷睿i3i5i7i9CPU处理器台式机电脑全新盒装i59400F无集显六核六线程,42481365543,智中和电脑配件专营店,200.00g,英特尔(Intel),B365，Z390，B360，H310,B365，Z390，B360，H310,,INTEL1151（九代）,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,游戏/影音,2.9GHz,其他,其他,,英雄联盟，穿越火线，吃鸡游戏,6线程,游戏/影音,,3年质保,,
202,英特尔i511400Fi51140011500i511600KF盒装处理器CPU主板套装B560MH板U套装11代i511400,10029206893086,灵竞DIY旗舰店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,不带风扇,不支持核显,游戏/影音,2.6GHz,其他,65W,,英雄联盟，吃鸡游戏，Apex英雄,12线程,游戏/影音,,3年质保,,1.2V
203,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
204,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
205,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
206,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
207,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉X570GAMINGXAMDRyzen75800X盒装,10024069137402,灵竞DIY旗舰店,2.0kg,AMD,X570,,,AMDAM4,ATX（标准型）,其他,2.5kg,30.5公分x24.4公分,,,,,,,,,,,中国大陆,,,,,,,
208,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
209,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
210,英特尔i511400Fi51140011500i511600KF盒装处理器CPU主板套装B560MH板U套装11代i511400,10029206893086,灵竞DIY旗舰店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,不带风扇,不支持核显,游戏/影音,2.6GHz,其他,65W,,英雄联盟，吃鸡游戏，Apex英雄,12线程,游戏/影音,,3年质保,,1.2V
211,AMDCPU主板套装R5/R75600G5600X5700G5800X搭技嘉B550单品CPU（不含主板）AMDRyzen55600X盒装,10034466441182,爵扬旗舰店,1.5kg,AMD,B550,,,AMDAM4,ATX（标准型）,其他,2.5kg,300*200*100,,,,,,,,,,,,,,,,,,
212,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
213,英特尔i511400Fi51140011500i511600KF盒装处理器CPU主板套装B560MH板U套装11代i511400,10029206893086,灵竞DIY旗舰店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,不带风扇,不支持核显,游戏/影音,2.6GHz,其他,65W,,英雄联盟，吃鸡游戏，Apex英雄,12线程,游戏/影音,,3年质保,,1.2V
214,AMDThreadripperPro3955WX,10029664347213,新东海晨旭电脑配件专营店,0.98kg,AMD,其他,,其他,AMDsTRX4,,AMD,,,十六核,7纳米,,线程撕裂者,不带风扇,不支持核显,,3.9GHz,8MB,其他,中国大陆,,,,,3年质保,,
215,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95900X12核24线程盒装,42369453644,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.7,64MB,105W,,英雄联盟，魔兽世界，剑灵,,,,3年质保,,
216,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,3年质保,,
217,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉B550MAORUSELITEAMDRyzen75700G盒装,10035080174791,灵竞DIY旗舰店,2.0kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,锐龙7,2.5kg,30.5公分x24.4公分,,,,,,,,,,,中国大陆,,,,,,,
218,英特尔酷睿?十代I510400F/10600KF/10700KF盒装组装电脑CPUi7-10700F【需配独立显卡】,69339984122,英特尔解决方案官方旗舰店,1.0kg,英特尔(Intel),,,,,,英特尔,,,,,,酷睿i5,,,,,16MB,65W,,,,,,,,
219,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
220,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉B550MAORUSELITEAMDRyzen75700G盒装,10035080174791,灵竞DIY旗舰店,2.0kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,锐龙7,2.5kg,30.5公分x24.4公分,,,,,,,,,,,中国大陆,,,,,,,
221,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
222,AMD锐龙ryzenR3R5R7R9处理器CPU台式机电脑盒装套装R95950X16核32线程盒装,51086158739,智中和电脑配件专营店,1.6kg,AMD,B550，X570,,B550，X570,AMDAM4,,AMD,,,八核,7纳米,,锐龙R5,不带风扇,不支持核显,,3.4,64MB,105W,,英雄联盟，魔兽世界，剑灵,16线程,,,3年质保,,
223,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
224,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉B550MAORUSELITEAMDRyzen75700G盒装,10035080174791,灵竞DIY旗舰店,2.0kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,锐龙7,2.5kg,30.5公分x24.4公分,,,,,,,,,,,中国大陆,,,,,,,
225,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
226,英特尔（Intel）37.5mmx37.5mm,10023112411032,华之硕电脑专营店,270.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,双核,14纳米,,奔腾,带风扇,支持核显,,4.00GHz,其他,45W,,,,,,3年质保,,
227,英特尔酷睿?十代I510400F/10600KF/10700KF盒装组装电脑CPUi7-10700F【需配独立显卡】,69339984122,英特尔解决方案官方旗舰店,1.0kg,英特尔(Intel),,,,,,英特尔,,,,,,酷睿i5,,,,,16MB,65W,,,,,,,,
228,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
229,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
230,英特尔（Intel）酷睿i3i5i7i9CPU处理器台式机电脑全新盒装i59400F无集显六核六线程,42481365543,智中和电脑配件专营店,200.00g,英特尔(Intel),B365，Z390，B360，H310,B365，Z390，B360，H310,,INTEL1151（九代）,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,游戏/影音,2.9GHz,其他,其他,,英雄联盟，穿越火线，吃鸡游戏,6线程,游戏/影音,,3年质保,,
231,英特尔i511400Fi51140011500i511600KF盒装处理器CPU主板套装B560MH板U套装11代i511400,10029206893086,灵竞DIY旗舰店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,不带风扇,不支持核显,游戏/影音,2.6GHz,其他,65W,,英雄联盟，吃鸡游戏，Apex英雄,12线程,游戏/影音,,3年质保,,1.2V
232,Intel/英特尔i59400F9600KF搭微星华硕B365Z390CPU主板套装中文盒装I39100盒装带集显,10023263992244,星致琪电脑办公专营店,2.0kg,英特尔(Intel),B365,,,INTEL1151（九代）,M-ATX（紧凑型）,Inteli3,2kg,300*300,,,,,,,,,,,,,,,,,,
233,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
234,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
235,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
236,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
237,AMDCPU主板套装R5/R75600G5600X5700G5800X搭技嘉B550单品CPU（不含主板）AMDRyzen55600X盒装,10034466441182,爵扬旗舰店,1.5kg,AMD,B550,,,AMDAM4,ATX（标准型）,其他,2.5kg,300*200*100,,,,,,,,,,,,,,,,,,
238,AMDR73700X,100006391078,,0.8kg,AMD,X570，X470，B450,,X570，X470，B450,AMDAM4,,AMD,,,八核,7纳米,,锐龙R7,带风扇,不支持核显,游戏/影音,3.6GHz,32MB,65W,美国/德国/新加坡/台湾/中国大陆/马来西亚,,16线程,游戏/影音,,3年质保,,
239,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉B550MAORUSELITEAMDRyzen75700G盒装,10035080174791,灵竞DIY旗舰店,2.0kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,锐龙7,2.5kg,30.5公分x24.4公分,,,,,,,,,,,中国大陆,,,,,,,
240,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉X570GAMINGXAMDRyzen75800X盒装,10024069137402,灵竞DIY旗舰店,2.0kg,AMD,X570,,,AMDAM4,ATX（标准型）,其他,2.5kg,30.5公分x24.4公分,,,,,,,,,,,中国大陆,,,,,,,
241,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
242,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
243,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
244,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
245,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
246,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
247,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
248,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
249,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
250,英特尔（Intel）酷睿i3i5i7i9CPU处理器台式机电脑全新盒装i910850K十核二十线程,42481365547,智中和电脑配件专营店,200.00g,英特尔(Intel),Z490，B460,Z490，B460,,INTELLGA1200,,英特尔,,,十核,14纳米,,酷睿i5,带风扇,不支持核显,发烧/超频,2.8GHz,其他,其他,,英雄联盟，穿越火线，吃鸡游戏,,发烧/超频,,3年质保,,
251,AMD锐龙RyzenR32200gR52400g2600X2700XCPU处理器散片标配,10035931679938,中盛车品优创店,1.0kg,AMD,,,,,,,,,,,,2600,,,,,,,,,,,,,卡通,
252,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
253,英特尔i511400Fi51140011500i511600KF盒装处理器CPU主板套装B560MH板U套装11代i511400,10029206893086,灵竞DIY旗舰店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,不带风扇,不支持核显,游戏/影音,2.6GHz,其他,65W,,英雄联盟，吃鸡游戏，Apex英雄,12线程,游戏/影音,,3年质保,,1.2V
254,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉B550MAORUSELITEAMDRyzen75700G盒装,10035080174791,灵竞DIY旗舰店,2.0kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,锐龙7,2.5kg,30.5公分x24.4公分,,,,,,,,,,,中国大陆,,,,,,,
255,英特尔i511400Fi51140011500i511600KF盒装处理器CPU主板套装B560MH板U套装11代i511400,10029206893086,灵竞DIY旗舰店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,不带风扇,不支持核显,游戏/影音,2.6GHz,其他,65W,,英雄联盟，吃鸡游戏，Apex英雄,12线程,游戏/影音,,3年质保,,1.2V
256,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
257,英特尔i511400Fi51140011500i511600KF盒装处理器CPU主板套装B560MH板U套装11代i511400,10029206893086,灵竞DIY旗舰店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,不带风扇,不支持核显,游戏/影音,2.6GHz,其他,65W,,英雄联盟，吃鸡游戏，Apex英雄,12线程,游戏/影音,,3年质保,,1.2V
258,英特尔i3-10105F,100011125511,,320.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,四核,14纳米,,酷睿i3,带风扇,不支持核显,家用/办公,3.70GHz,6MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
259,英特尔i511400Fi51140011500i511600KF盒装处理器CPU主板套装B560MH板U套装11代i511400,10029206893086,灵竞DIY旗舰店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,不带风扇,不支持核显,游戏/影音,2.6GHz,其他,65W,,英雄联盟，吃鸡游戏，Apex英雄,12线程,游戏/影音,,3年质保,,1.2V
260,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
261,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
262,AMDCPU主板套装R5/R75600G5600X5700G5800X搭技嘉B550单品CPU（不含主板）AMDRyzen55600X盒装,10034466441182,爵扬旗舰店,1.5kg,AMD,B550,,,AMDAM4,ATX（标准型）,其他,2.5kg,300*200*100,,,,,,,,,,,,,,,,,,
263,AMD锐龙R5/R75600G5600X5800x5700G搭技嘉B550主板CPU套装技嘉B550MAORUSELITEAMDRyzen75700G盒装,10035080174791,灵竞DIY旗舰店,2.0kg,AMD,B550,,,AMDAM4,M-ATX（紧凑型）,锐龙7,2.5kg,30.5公分x24.4公分,,,,,,,,,,,中国大陆,,,,,,,
264,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
265,英特尔i5-10400F,100006897507,,270.00g,英特尔(Intel),B460,B460,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,带风扇,不支持核显,家用/办公,2.90GHz,12MB,65W,马来西亚/越南/中国大陆,,,,,3年质保,,
266,英特尔i7-11700K,100018204802,,80.00g,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,八核,14纳米,,酷睿i7,不带风扇,支持核显,游戏/影音,3.60GHz,16MB,125W,马来西亚/越南/中国大陆,,16线程,游戏/影音,,3年质保,,
267,英特尔i511400Fi51140011500i511600KF盒装处理器CPU主板套装B560MH板U套装11代i511400,10029206893086,灵竞DIY旗舰店,2.0kg,英特尔(Intel),,,,INTELLGA1200,,英特尔,,,六核,14纳米,,酷睿i5,不带风扇,不支持核显,游戏/影音,2.6GHz,其他,65W,,英雄联盟，吃鸡游戏，Apex英雄,12线程,游戏/影音,,3年质保,,1.2V
268,英特尔十一代酷睿i911900K11600KF11700K华硕主板CPU套装【高达主板】Z590WiFiGUNDAMi9-11900K,10034253635888,英特尔解决方案官方旗舰店,2.0kg,英特尔(Intel),Z590,,,,ATX（标准型）,Inteli9,1kg,400,,,,,,,,,,,,,,,,,,
269,英特尔十一代酷睿i911900K11600KF11700K华硕主板CPU套装【吹雪主板】590-AWIFIi9-11900K,10027865196403,英特尔解决方案官方旗舰店,2.0kg,英特尔(Intel),Z590,,,,ATX（标准型）,Inteli9,1kg,400,,,,,,,,,,,,,,,,,,
270,AMDCPU主板套装R5/R75600G5600X5700G5800X搭技嘉B550单品CPU（不含主板）AMDRyzen55600X盒装,10034466441182,爵扬旗舰店,1.5kg,AMD,B550,,,AMDAM4,ATX（标准型）,其他,2.5kg,300*200*100,,,,,,,,,,,,,,,,,,
