,商品名称,商品编号,商品毛重,商品产地,型号,体型,机箱类型,支持主板,固态硬盘位,音频接口,硬盘位,光驱位,面板接口,箱体净重(kg),CPU散热器限高,材质,箱体长宽高（mm）,显卡（连供电头总长度）限长,标配风扇数,风扇位,水冷类型,机箱重量,颜色,品牌,电源位置,电源类型,店铺,RGB光控,导风管,标配电源,静音棉,高达/变形种类,外观造型,货号
117,技嘉（GIGABYTE）C101G幽灵系列ATX中塔式电脑机箱钢化玻璃侧透DIY组装机游戏机箱技嘉幽灵C101G机箱,70081768544,4.14kg,,技嘉C101G,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,5个,1个耳机接口；1个麦克风接口,5个,0,USB键、Reset键、RGB灯控、音频接口,4,175mm,ABS塑料；钢化玻璃；钢,440*215*360,≤36cm,0,6个,360冷排，280冷排，240冷排，120冷排,<5kg,透明,,下置,不带电源,技嘉旗舰店,支持RGB光控,不支持导风管,不带电源,没有静音棉,,,
118,美商海盗船465XSE,100013120484,9.3kg,中国大陆,iCUE465XRGBSE,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,AC97/HD；1个耳机接口；1个麦克风接口,6个,0,USB3.0x2，耳机，麦克风，电源，重启,8,170mm,ABS塑料；钢化玻璃；钢,467x216x455,≤37cm,3个,6个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,海盗船（Corsair）,下置,不带电源,,支持RGB光控,支持导风管,不带电源,没有静音棉,,,CC-9011202-CN
119,技嘉（GIGABYTE）C101G幽灵系列ATX中塔式电脑机箱钢化玻璃侧透DIY组装机游戏机箱技嘉幽灵C101G机箱,70081768544,4.14kg,,技嘉C101G,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,5个,1个耳机接口；1个麦克风接口,5个,0,USB键、Reset键、RGB灯控、音频接口,4,175mm,ABS塑料；钢化玻璃；钢,440*215*360,≤36cm,0,6个,360冷排，280冷排，240冷排，120冷排,<5kg,透明,,下置,不带电源,技嘉旗舰店,支持RGB光控,不支持导风管,不带电源,没有静音棉,,,
120,,70652805140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,平头哥M1,,,,,,,1,,,,,,,,,,,,,下置,,,,,,,,,
122,金河田预见N27电脑机箱台式机全侧透水冷游戏机箱电源风扇套装办公/家用金河田炫豪N3i机箱*白色+无线充电,65007453673,4.5kg,,N27,中型机箱（中塔机箱）,铝质机箱，静音机箱,ATX（标准型），M-ATX（紧凑型）,2个,1个耳机接口；1个麦克风接口,2个,0,USB3.0*1/USB2.0*1,4.5,160mm,亚克力；钢化玻璃,404*200*418mm,≤35cm,0,6个,280冷排,,白色,,下置,不带电源,锐星电脑DIY旗舰店,支持RGB光控,支持导风管,不带电源,有静音棉,,,
123,鑫谷图灵S1机箱,100004573911,4.28kg,中国大陆,图灵S1机箱,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,1个,AC97/HD,3个,0,USB3.0*1，USB2.0*2，HDAUDIO,4.3,155mm,亚克力；SPCC钢材,L390*W200*H472mm,≤29cm,0,8个,240冷排，120冷排,5-8kg,黑色,鑫谷（Segotep）,下置,不带电源,,,,,,,,
124,先马（SAMA)剑魔电竞版/平头哥M7商务台式机电脑主机箱DIY组装电脑240水冷侧透宽体背线办公剑魔K1活动送三个机箱风扇,10027045221252,4.1kg,,,中型机箱（中塔机箱）,玻璃侧透机箱，静音机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,3个,0,USB接口，开关机,4.1,164mm,钢化玻璃；SPCC钢材,380*210*452mm,≤33cm,0,5个,360冷排，280冷排，240冷排，120冷排,5-8kg,,先马（SAMA）,下置,不带电源,陆安电脑配件专营店,支持RGB光控,,不带电源,没有静音棉,,,
125,,,,,暮光2,,,,,,,2,,,,,,,,,,,,,下置,,,,,,,,,
126,,5386278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,先马（SAMA)剑魔电竞版/平头哥M7商务台式机电脑主机箱DIY组装电脑240水冷侧透宽体背线办公剑魔K1活动送三个机箱风扇,10027045221252,4.1kg,,,中型机箱（中塔机箱）,玻璃侧透机箱，静音机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,3个,0,USB接口，开关机,4.1,164mm,钢化玻璃；SPCC钢材,380*210*452mm,≤33cm,0,5个,360冷排，280冷排，240冷排，120冷排,5-8kg,,先马（SAMA）,下置,不带电源,陆安电脑配件专营店,支持RGB光控,,不带电源,没有静音棉,,,
128,鑫谷图灵S1机箱,100004573911,4.28kg,中国大陆,图灵S1机箱,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,1个,AC97/HD,3个,0,USB3.0*1，USB2.0*2，HDAUDIO,4.3,155mm,亚克力；SPCC钢材,L390*W200*H472mm,≤29cm,0,8个,240冷排，120冷排,5-8kg,黑色,鑫谷（Segotep）,下置,不带电源,,,,,,,,
129,航嘉（Huntkey）GS500R,54533003620,5.5kg,中国大陆,GX500R,中型机箱（中塔机箱）,玻璃侧透机箱，机箱电源套装,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,AC97；1个耳机接口；1个麦克风接口,4个,0,"USB3.0*1,USB2.0*2",4.5KG,160mm,ABS塑料；亚克力；SPCC钢材,400*200*450mm,≤35cm,0,8个,240冷排，120冷排,5-8kg,,航嘉（HuntKey）,下置,,惠宏电脑组件专营店,,,,,,,
130,先马剑魔K3,100016685540,4.02kg,中国大陆,剑魔K3,中型机箱（中塔机箱）,,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,1个,HD；1个耳机接口；1个麦克风接口,2个,0,USB2.0*2、USB3.0*1,约3kg,160mm,亚克力；SPCC钢材,380（长）*205（宽）*450（高）mm,≤30cm,0,6个,240冷排，120冷排,<5kg,黑色,先马（SAMA）,下置,,,,,,,,,
131,先马（SAMA)剑魔电竞版/平头哥M7商务台式机电脑主机箱DIY组装电脑240水冷侧透宽体背线办公剑魔K1活动送三个机箱风扇,10027045221252,4.1kg,,,中型机箱（中塔机箱）,玻璃侧透机箱，静音机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,3个,0,USB接口，开关机,4.1,164mm,钢化玻璃；SPCC钢材,380*210*452mm,≤33cm,0,5个,360冷排，280冷排，240冷排，120冷排,5-8kg,,先马（SAMA）,下置,不带电源,陆安电脑配件专营店,支持RGB光控,,不带电源,没有静音棉,,,
132,先马（SAMA)剑魔电竞版/平头哥M7商务台式机电脑主机箱DIY组装电脑240水冷侧透宽体背线办公剑魔K1活动送三个机箱风扇,10027045221252,4.1kg,,,中型机箱（中塔机箱）,玻璃侧透机箱，静音机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,3个,0,USB接口，开关机,4.1,164mm,钢化玻璃；SPCC钢材,380*210*452mm,≤33cm,0,5个,360冷排，280冷排，240冷排，120冷排,5-8kg,,先马（SAMA）,下置,不带电源,陆安电脑配件专营店,支持RGB光控,,不带电源,没有静音棉,,,
133,航嘉（Huntkey）GS500R,54533003620,5.5kg,中国大陆,GX500R,中型机箱（中塔机箱）,玻璃侧透机箱，机箱电源套装,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,AC97；1个耳机接口；1个麦克风接口,4个,0,"USB3.0*1,USB2.0*2",4.5KG,160mm,ABS塑料；亚克力；SPCC钢材,400*200*450mm,≤35cm,0,8个,240冷排，120冷排,5-8kg,,航嘉（HuntKey）,下置,,惠宏电脑组件专营店,,,,,,,
134,大水牛潘神Plus黑色侧透高配版,7299672,4.4kg,中国大陆,潘神plus,中型机箱（中塔机箱）,静音机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,5个,0,USB3.0x1、USB2.0x2；耳机接口x1；麦克风接口x1,4.1,160mm,ABS塑料；亚克力；SPCC钢材,L415/W190/H470,≤33cm,0,7个,120冷排,<5kg,黑色,大水牛（BUBALUS）,下置,不带电源,,支持RGB光控,,,,,,
135,Thermaltake（Tt）CA-1P9-00S1WN-01,100005336107,7.32kg,中国大陆,启航者A1黑色,小型机箱,玻璃侧透机箱,M-ATX（紧凑型），MINI-ITX（迷你型）,3个,1个耳机接口；1个麦克风接口,4个,0,USB3.0×1，USB2.0×2，麦克风×1，耳机×1,5.8kg,172mm,SPCC钢材,406×220×440mm,≤33cm,0,6个,240冷排，120冷排,<5kg,黑色,TT,,不带电源,,,,,没有静音棉,,,
136,航嘉静音电脑机箱静风者宽体中塔台式主机箱大（可选配机箱电源套装）黑色不带风扇,10024212664331,6.2kg,中国大陆,静风者,中型机箱（中塔机箱）,静音机箱，机箱电源套装,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,3个,HD,5个,0,"USB3.0*1,USB2.0*2",5.2,160mm,ABS塑料；钢；SPCC钢材,425*205*450mm,≤38cm,0,6个,240冷排，120冷排,8-12kg,,航嘉（HuntKey）,下置,,惠宏电脑组件专营店,,,,有静音棉,,,静风者
137,Thermaltake（Tt）CA-1P9-00S1WN-01,100005336107,7.32kg,中国大陆,启航者A1黑色,小型机箱,玻璃侧透机箱,M-ATX（紧凑型），MINI-ITX（迷你型）,3个,1个耳机接口；1个麦克风接口,4个,0,USB3.0×1，USB2.0×2，麦克风×1，耳机×1,5.8kg,172mm,SPCC钢材,406×220×440mm,≤33cm,0,6个,240冷排，120冷排,<5kg,黑色,TT,,不带电源,,,,,没有静音棉,,,
138,先马（SAMA）黑洞X,10036070509683,2.0kg,中国大陆,,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,HD；1个耳机接口；1个麦克风接口,3个,,,*,165mm,钢化玻璃；SPCC钢材,465（长）*215（宽）*482（高）mm,≤38cm,3个,4个,240冷排,,,,,,嘉合数码专营店,,,,,,,
139,大水牛潘神Plus黑色侧透高配版,7299672,4.4kg,中国大陆,潘神plus,中型机箱（中塔机箱）,静音机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,5个,0,USB3.0x1、USB2.0x2；耳机接口x1；麦克风接口x1,4.1,160mm,ABS塑料；亚克力；SPCC钢材,L415/W190/H470,≤33cm,0,7个,120冷排,<5kg,黑色,大水牛（BUBALUS）,下置,不带电源,,支持RGB光控,,,,,,
140,九州风神魔方310P,100017939596,9.34kg,中国大陆,,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,4个,0,USB3.0×2、Audio×1、Mic×1,8.33,165mm,ABS塑料；钢化玻璃；SPCC钢材,424.6×215×494.6(L×W×H),≤33cm,0,7个,360冷排,8-12kg,黑色,,下置,不带电源,,不支持RGB光控,不支持导风管,,没有静音棉,,,
141,美商海盗船CORSAIR机箱中塔游戏机箱台式机主机电脑SPEC-06RGB黑色中塔机箱,40735774150,8.0kg,,SPEC-OMEGA,,玻璃侧透机箱，铝质机箱，静音机箱，复古机箱（带光驱位），异形机箱，机箱电源套装,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,3个,AC97/HD；1个耳机接口；1个麦克风接口,6个,0,USB3.0x2，电源键，重启键,7.75kg/15.65lbs,170mm,ABS塑料；钢化玻璃；钢,495mmx232mmx516mm,≤33cm,1个,6个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,海盗船（Corsair）,下置,不带电源,灵竞DIY旗舰店,支持RGB光控,不支持导风管,不带电源,没有静音棉,,,
142,航嘉静音电脑机箱静风者宽体中塔台式主机箱大（可选配机箱电源套装）黑色不带风扇,10024212664331,6.2kg,中国大陆,静风者,中型机箱（中塔机箱）,静音机箱，机箱电源套装,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,3个,HD,5个,0,"USB3.0*1,USB2.0*2",5.2,160mm,ABS塑料；钢；SPCC钢材,425*205*450mm,≤38cm,0,6个,240冷排，120冷排,8-12kg,,航嘉（HuntKey）,下置,,惠宏电脑组件专营店,,,,有静音棉,,,静风者
143,先马（SAMA）黑洞X,10036070509683,2.0kg,中国大陆,,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,4个,HD；1个耳机接口；1个麦克风接口,3个,,,*,165mm,钢化玻璃；SPCC钢材,465（长）*215（宽）*482（高）mm,≤38cm,3个,4个,240冷排,,,,,,嘉合数码专营店,,,,,,,
144,航嘉静音电脑机箱静风者宽体中塔台式主机箱大（可选配机箱电源套装）黑色不带风扇,10024212664331,6.2kg,中国大陆,静风者,中型机箱（中塔机箱）,静音机箱，机箱电源套装,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,3个,HD,5个,0,"USB3.0*1,USB2.0*2",5.2,160mm,ABS塑料；钢；SPCC钢材,425*205*450mm,≤38cm,0,6个,240冷排，120冷排,8-12kg,,航嘉（HuntKey）,下置,,惠宏电脑组件专营店,,,,有静音棉,,,静风者
145,美商海盗船CORSAIR机箱中塔游戏机箱台式机主机电脑SPEC-06RGB黑色中塔机箱,40735774150,8.0kg,,SPEC-OMEGA,,玻璃侧透机箱，铝质机箱，静音机箱，复古机箱（带光驱位），异形机箱，机箱电源套装,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,3个,AC97/HD；1个耳机接口；1个麦克风接口,6个,0,USB3.0x2，电源键，重启键,7.75kg/15.65lbs,170mm,ABS塑料；钢化玻璃；钢,495mmx232mmx516mm,≤33cm,1个,6个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,海盗船（Corsair）,下置,不带电源,灵竞DIY旗舰店,支持RGB光控,不支持导风管,不带电源,没有静音棉,,,
146,美商海盗船CORSAIR机箱中塔游戏机箱台式机主机电脑SPEC-06RGB黑色中塔机箱,40735774150,8.0kg,,SPEC-OMEGA,,玻璃侧透机箱，铝质机箱，静音机箱，复古机箱（带光驱位），异形机箱，机箱电源套装,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,3个,AC97/HD；1个耳机接口；1个麦克风接口,6个,0,USB3.0x2，电源键，重启键,7.75kg/15.65lbs,170mm,ABS塑料；钢化玻璃；钢,495mmx232mmx516mm,≤33cm,1个,6个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,海盗船（Corsair）,下置,不带电源,灵竞DIY旗舰店,支持RGB光控,不支持导风管,不带电源,没有静音棉,,,
147,美商海盗船CORSAIR机箱中塔游戏机箱台式机主机电脑SPEC-06RGB黑色中塔机箱,40735774150,8.0kg,,SPEC-OMEGA,,玻璃侧透机箱，铝质机箱，静音机箱，复古机箱（带光驱位），异形机箱，机箱电源套装,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,3个,AC97/HD；1个耳机接口；1个麦克风接口,6个,0,USB3.0x2，电源键，重启键,7.75kg/15.65lbs,170mm,ABS塑料；钢化玻璃；钢,495mmx232mmx516mm,≤33cm,1个,6个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,海盗船（Corsair）,下置,不带电源,灵竞DIY旗舰店,支持RGB光控,不支持导风管,不带电源,没有静音棉,,,
148,航嘉（Huntkey）暗夜猎手5,10024522344477,4.0kg,中国大陆,暗夜猎手5,中型机箱（中塔机箱）,,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,AC97/HD；1个耳机接口；1个麦克风接口,4个,0,USB3.0X1USB2.0X2,4,165mm,亚克力；SPCC钢材,380X198X450,≤32cm,0,8个,240冷排，120冷排,<5kg,,航嘉（HuntKey）,下置,,晨惠电脑配件专营店,,,,,,,
149,asus/华硕ROG玩家国度GX601太阳神全塔侧透明玻璃电竞游戏组装主机散热水冷电脑台式机箱华硕ROGGX601太阳神机箱*白色,10026530889690,21.0kg,,华硕ROGGX601机箱高达版,,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,7个,AC97,13个,13,IPS,21.7,199mm,钢化玻璃,565x250×591,≤38cm,5个,3个,360冷排,,银色,,下置,标准电源（ATX）,锐星电脑DIY旗舰店,支持RGB光控,支持导风管,不带电源,没有静音棉,,,
150,乔思伯C2,1071098,1.6kg,中国大陆,C2,MINI机箱,铝质机箱,M-ATX（紧凑型），MINI-ITX（迷你型）,2个,HD；1个耳机接口；1个麦克风接口,2个,0,USB3.0×1，USB2.0×1,1.2KG,80mm,铝,200mm(宽)x262mm(高)x224mm(深)，高度不含脚垫，脚垫高度8MM。,≤21cm,0,1个,不支持,<5kg,银色,,,不带电源,,不支持RGB光控,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,鱼巢T40机箱,71745940252,220.00g,,T40,MINI机箱,玻璃侧透机箱，静音机箱，机箱电源套装,MINI-ITX（迷你型）,3个,AC97/HD；1个耳机接口；1个麦克风接口,3个,0,USB3.0+USB2.0+麦克风+音频,0.159,70mm,亚克力；SPCC钢材,212x137x260,≤15cm,0,0个,不支持,,,,下置,,北鱼电脑配件专营店,,,,,,,
153,Thermaltake（Tt）CA-1H4-40S1WN-00,100000805272,6.6kg,中国大陆,启航者F1机箱电源套装,小型机箱,机箱电源套装,M-ATX（紧凑型），MINI-ITX（迷你型）,2个,HD,4个,0,USB3.0x1、USB2.0x2、HDAudiox1,4.55kg,160mm,SPCC钢材,（H*W*D）396x205x422mm,≤38cm,0,5个,240冷排，120冷排,5-8kg,黑色,TT,下置,标准电源（ATX）,,,,带电源,没有静音棉,,,
154,爱国者爱国者（aigo）YOGOM2枪灰色游戏药丸全侧透MINI玻璃机箱,100004999668,5.78kg,中国大陆,YOGOM2钛灰色,小型机箱,玻璃侧透机箱,M-ATX（紧凑型），MINI-ITX（迷你型）,2个,HD,4个,0,USB3.0*1+USB2.0*2+HDAUDIO,4.8kg,160mm,钢化玻璃；SPCC钢材,361mm*208mm*425mm,≤32cm,0,5个,240冷排，120冷排,5-8kg,其他颜色,爱国者（aigo）,,不带电源,,不支持RGB光控,,,,,,
155,鑫谷（segotep）开元T1全塔玻璃右侧透台式电脑大机箱（支持EATX大板/360水冷/显卡竖装)T1黑色（单机箱）全塔大机箱,10025183892871,10.9kg,中国大陆,,大型机箱（全塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,6个,1个耳机接口；1个麦克风接口；HD,6个,0,"Type-C,USB*4",9.3,175mm,钢化玻璃；SPCC钢材,500*240*550,≤34cm,0,7个,420冷排，360冷排，280冷排，240冷排，120冷排,,,,,,兆方数码专营店,,,,,,,
156,爱国者爱国者（aigo）YOGOM2枪灰色游戏药丸全侧透MINI玻璃机箱,100004999668,5.78kg,中国大陆,YOGOM2钛灰色,小型机箱,玻璃侧透机箱,M-ATX（紧凑型），MINI-ITX（迷你型）,2个,HD,4个,0,USB3.0*1+USB2.0*2+HDAUDIO,4.8kg,160mm,钢化玻璃；SPCC钢材,361mm*208mm*425mm,≤32cm,0,5个,240冷排，120冷排,5-8kg,其他颜色,爱国者（aigo）,,不带电源,,不支持RGB光控,,,,,,
157,航嘉（Huntkey）暗夜猎手5,10024522344477,4.0kg,中国大陆,暗夜猎手5,中型机箱（中塔机箱）,,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,AC97/HD；1个耳机接口；1个麦克风接口,4个,0,USB3.0X1USB2.0X2,4,165mm,亚克力；SPCC钢材,380X198X450,≤32cm,0,8个,240冷排，120冷排,<5kg,,航嘉（HuntKey）,下置,,晨惠电脑配件专营店,,,,,,,
158,asus/华硕ROG玩家国度GX601太阳神全塔侧透明玻璃电竞游戏组装主机散热水冷电脑台式机箱华硕ROGGX601太阳神机箱*白色,10026530889690,21.0kg,,华硕ROGGX601机箱高达版,,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,7个,AC97,13个,13,IPS,21.7,199mm,钢化玻璃,565x250×591,≤38cm,5个,3个,360冷排,,银色,,下置,标准电源（ATX）,锐星电脑DIY旗舰店,支持RGB光控,支持导风管,不带电源,没有静音棉,,,
159,asus/华硕ROG玩家国度GX601太阳神全塔侧透明玻璃电竞游戏组装主机散热水冷电脑台式机箱华硕ROGGX601太阳神机箱*白色,10026530889690,21.0kg,,华硕ROGGX601机箱高达版,,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,7个,AC97,13个,13,IPS,21.7,199mm,钢化玻璃,565x250×591,≤38cm,5个,3个,360冷排,,银色,,下置,标准电源（ATX）,锐星电脑DIY旗舰店,支持RGB光控,支持导风管,不带电源,没有静音棉,,,
160,爱国者爱国者（aigo）YOGOM2枪灰色游戏药丸全侧透MINI玻璃机箱,100004999668,5.78kg,中国大陆,YOGOM2钛灰色,小型机箱,玻璃侧透机箱,M-ATX（紧凑型），MINI-ITX（迷你型）,2个,HD,4个,0,USB3.0*1+USB2.0*2+HDAUDIO,4.8kg,160mm,钢化玻璃；SPCC钢材,361mm*208mm*425mm,≤32cm,0,5个,240冷排，120冷排,5-8kg,其他颜色,爱国者（aigo）,,不带电源,,不支持RGB光控,,,,,,
161,华硕（ASUS）GX601,10031300439657,22.0kg,中国大陆,,大型机箱（全塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型）,8个,AC97/HD；1个耳机接口；1个麦克风接口,8个,0,AC97/HD；1个麦克风接口；1个耳机接口,21.75,199mm,钢化玻璃；钢；铝,565x250×591,≤38cm,5个,4个,360冷排，280冷排，240冷排,>16kg,,,下置,,华硕电脑配件专卖店,支持RGB光控,,,,,,GX601
162,Thermaltake（Tt）CA-1H4-40S1WN-00,100000805272,6.6kg,中国大陆,启航者F1机箱电源套装,小型机箱,机箱电源套装,M-ATX（紧凑型），MINI-ITX（迷你型）,2个,HD,4个,0,USB3.0x1、USB2.0x2、HDAudiox1,4.55kg,160mm,SPCC钢材,（H*W*D）396x205x422mm,≤38cm,0,5个,240冷排，120冷排,5-8kg,黑色,TT,下置,标准电源（ATX）,,,,带电源,没有静音棉,,,
163,游戏悍将ATX大板机箱台式机电脑机箱电源组合套装侧透钢化玻璃个性酷炫带磁吸防尘网支持240水冷RGB版标配,10023767662352,5.0kg,中国大陆,海洋之星,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型）,2个,1个耳机接口；1个麦克风接口,2个,0,USB3.0*1USB2.0*2HDAUDIO,5,175mm,ABS塑料；钢化玻璃；SPCC钢材,370*210*253,≤31cm,0,8个,240冷排，120冷排,,其他颜色,游戏悍将（GameDemon）,下置,不带电源,游戏悍将旗舰店,支持RGB光控,不支持导风管,不带电源,没有静音棉,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,华硕TUFGAMINGGT501机箱,100003109976,12.8kg,中国大陆,黑色,大型机箱（全塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,7个,HD；1个耳机接口；1个麦克风接口,7个,0,2xUSB3.0,10.5,180mm,ABS塑料；钢化玻璃；钢,545x251x552,≤38cm,4个,7个,360冷排，280冷排，240冷排，120冷排,8-12kg,黑色,,下置,不带电源,,支持RGB光控,不支持导风管,,,,,
166,先马（SAMA）坦克系列机箱电源套装宽体水冷大透彻简约游戏箱/经典九孔走线/电源独立仓坦克标准黑大侧透单机箱,1794458756,9.5kg,中国大陆,坦克,,机箱电源套装,ATX（标准型），M-ATX（紧凑型）,其他,1个耳机接口,5个,,1个USB3.0接口、2个USB2.0接口,**,160mm,ABS塑料；SPCC钢材,**,≤33cm,0,,240冷排,5-8kg,,,,,华之硕电脑专营店,,,,,,,
167,先马黑洞X,100011325597,13.21kg,中国大陆,黑洞X,大型机箱（全塔机箱）,静音机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,5个,HD；1个耳机接口；1个麦克风接口,8个,0,2个USB3.0、重启键、风扇调速器,约10.5kg,180mm,SPCC钢材,485（长）*232（宽）*505（高）mm,≤41cm,4个,7个,360冷排，280冷排，240冷排，120冷排,,黑色,先马（SAMA）,下置,,,,,,有静音棉,,,
168,SAMA/先马机箱电竞电脑机箱剑魔机箱RGB灯效侧透背线支持水冷ATX大板剑魔+ARGB风扇1个【黑色侧透钢化玻璃】,55735497389,10.0kg,,*,,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,HD,4个,0,*,*,164mm,钢化玻璃,*,≤27cm,0,6个,240冷排,,透明,,下置,不带电源,瑞达中腾官方旗舰店,不支持RGB光控,不支持导风管,不带电源,没有静音棉,,,
169,,100007345175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,华硕（ASUS）Z11机箱,71875986545,11.54kg,,华硕ROGZ11,MINI机箱,,MINI-ITX（迷你型）,2个,1个麦克风接口；1个耳机接口,3个,0,耳机+麦克风,8.73,130mm,ABS塑料；钢化玻璃；钢；铝,194*531*386,≤32cm,3个,5个,240冷排，120冷排,8-12kg,黑色,,下置,不带电源,华硕电脑配件专卖店,支持RGB光控,不支持导风管,不带电源,没有静音棉,,,
171,华硕TUFGT301,100007081383,8.255kg,中国大陆,TUFGT301,中型机箱（中塔机箱）,玻璃侧透机箱,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,6个,0,1*USB3.1Gen11*耳机+麦克风,7.3,160mm,ABS塑料；钢化玻璃；SPCC钢材,426*214*482,≤32cm,4个,6个,360冷排，280冷排，240冷排，120冷排,,黑色,,下置,不带电源,,支持RGB光控,不支持导风管,,没有静音棉,,,
172,美商海盗船7000XRGB黑色,100023641718,21.95kg,中国大陆,7000XRGB黑色,大型机箱（全塔机箱）,玻璃侧透机箱,E-ATX（加大型），ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,10个,HD,6个,0,USB3.0x4，USB3.1x1，耳机/麦克风，电源，重启,19.8,190mm,ABS塑料；钢化玻璃；钢,550*248*600,≤44cm,4个,11个,420冷排，360冷排，280冷排，240冷排，120冷排,>16kg,黑色,海盗船（Corsair）,下置,不带电源,,支持RGB光控,,不带电源,没有静音棉,,,CC-9011226-CN
173,游戏悍将黑金S,100012169533,3.85kg,中国大陆,黑金S,中型机箱（中塔机箱）,,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,1个耳机接口；1个麦克风接口,2个,0,USB3.0*1USB2.0*2HDAUDIO,3,160mm,ABS塑料；亚克力；SPCC钢材,379*190*430mm,≤32cm,0,6个,240冷排，120冷排,<5kg,,,下置,不带电源,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,航嘉（Huntkey）暗夜猎手5,10024522344477,4.0kg,中国大陆,暗夜猎手5,中型机箱（中塔机箱）,,ATX（标准型），M-ATX（紧凑型），MINI-ITX（迷你型）,2个,AC97/HD；1个耳机接口；1个麦克风接口,4个,0,USB3.0X1USB2.0X2,4,165mm,亚克力；SPCC钢材,380X198X450,≤32cm,0,8个,240冷排，120冷排,<5kg,,航嘉（HuntKey）,下置,,晨惠电脑配件专营店,,,,,,,
