,商品名称,商品编号,店铺,商品毛重,货号,商品产地,热管数量,水冷类型,型号,风量,散热片材质,散热器高度,电源接口,散热器尺寸,散热方式,风扇转速（RPM）,电压,类型,建议机箱,灯效,品牌,噪音(dB(A)),兼容接口,背板材质,类别,风冷鳍片,风冷底座
78,鑫谷冰封240冰山版一体式水冷CPU散热器,100023485366,,1.73kg,,中国大陆,,,,77.9,,27mm,3pin,277*120*27mm,水冷,800-1800,12VDC,一体式水冷散热器,,,,30.6,,,,,
79,大水牛寒战120水冷,100020460176,,1.02kg,,中国大陆,,120冷排,寒战120水冷,54.6CFMMAX,,52mm,4pin,150*120*52mm,水冷,800-1800RPM±10%,12Vdc,一体式水冷散热器,宽度大于180mm,RGB,大水牛（BUBALUS）,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,Intel平台散热器,,
80,赤核RX-0360一体式水冷,100018845214,,2.085kg,,中国大陆,,360冷排,高达联名独角兽款360一体式水冷,35.8（MAX）,铝质水冷排,53mm,3pin,395X120x27(mm),水冷,800-1600RPM±10%,12V,一体式水冷散热器,宽度大于210mm,ARGB,赤核,27（MAX）,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,,,,
81,雅浚B3,100016046780,,0.96kg,,中国大陆,4热管,,B3,72CFM±10%,铝片+铜管,153mm,4pin,120x48x153(mm)±2mm,风冷,1500RPM±10%,12V,风冷散热器,宽度大于180mm,,,27dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,塑料,AMD平台CPU散热器,穿片工艺,热管直触
82,酷冷至尊RR-T4V2-16PR-C2,2771147,,0.89kg,,中国大陆,4热管,,T400i,,4根直触热管/铝鳍片,157mm,4pin,80.5x120x157,风冷,600-1600RPM(PWM)±10%,12VDC,风冷散热器,,ARGB,,,INTELLGA1200，INTEL1151（九代），INTEL1151（八代）,金属,,穿片工艺,热管直触
83,大水牛寒战120水冷,100020460176,,1.02kg,,中国大陆,,120冷排,寒战120水冷,54.6CFMMAX,,52mm,4pin,150*120*52mm,水冷,800-1800RPM±10%,12Vdc,一体式水冷散热器,宽度大于180mm,RGB,大水牛（BUBALUS）,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,Intel平台散热器,,
84,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2+MG-8高导热硅脂,10034106451596,京天DIY电脑旗舰店,2.0kg,,中国大陆,无热管,360冷排,120/240/360,85,铜,27mm,4pin,282x120x27mm,水冷,500~1800,12VDC（水泵额定电压）,,,,,,,,,,
85,Thermaltake（Tt）CL-W310-PL24SW-A,100009286105,,2.055kg,,中国大陆,,360冷排,枭龙360,68.04,,25mm,4pin,120X120X25mm,水冷,900-1800,12V,一体式水冷散热器,,ARGB,TT,33.16,INTELLGA2066，INTEL1151（九代），AMDTR4，AMD其他，INTEL1151（八代），INTEL其他，AMDAM4,,,,
86,,7565173,,,,,,,,,,,,,,,,,,,,,,,,,
87,雅浚B3,100016046780,,0.96kg,,中国大陆,4热管,,B3,72CFM±10%,铝片+铜管,153mm,4pin,120x48x153(mm)±2mm,风冷,1500RPM±10%,12V,风冷散热器,宽度大于180mm,,,27dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,塑料,AMD平台CPU散热器,穿片工艺,热管直触
88,利民（Thermalright）银风ArrowT8,59464852414,零度世家电脑配件专营店,1.49kg,银风ArrowT8,中国大陆,,,银风ArrowT8,33.98~90.96CFM,,158mm,4pin,L155mmxW103mmxH158mm,风冷,600~1800RPM±10%,12V,风冷散热器,宽度大于180mm,,,19~25dBA,,,,,
89,,,,,,,,,NH-D15,,,其他,6pin,散热器尺寸,风冷,风扇转速（RPM）,电压,,,,,,,,,,
90,,,,,,,,,冷山RGB同步版,,,其他,USB供电,散热器尺寸,水冷,风扇转速（RPM）,电压,,,,,,,,,,
91,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器堡垒240幻彩版,10026473052039,武极电脑DIY旗舰店,1.0kg,,,,,,,,,4pin,282×120×27mm（冷排尺寸）,水冷,500~1800RPM±10%,12VDC(水泵额定电压）,,宽度大于210mm,,九州风神DEEPCOOL,,,,,,
92,九州风神水元素240RGBV2,100005442548,,1.85kg,,中国大陆,,240冷排,水元素240RGBV2,,铝,47mm,4pin,282×120×27mm,水冷,500~1800RPM±10%,水泵：12VDC,一体式水冷散热器,宽度大于180mm,RGB,九州风神DEEPCOOL,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,,
93,京天（KOTIN）12CMRGB风扇光圈/减震/静音/组装电脑主机机箱散热风扇神光同步九州魔影套装（3个120RGB5V）,10020937413180,京天DIY电脑旗舰店,200.00g,,,,,风冷,800,塑料,5mm,4pin,120X120X25mm,风冷,500±200-1500±10%RPM,12v,,,,,,,,,,
