,商品名称,商品编号,店铺,商品毛重,货号,商品产地,热管数量,水冷类型,型号,风量,散热片材质,散热器高度,电源接口,散热器尺寸,散热方式,风扇转速（RPM）,电压,类型,建议机箱,灯效,品牌,噪音(dB(A)),兼容接口,背板材质,类别,风冷鳍片,风冷底座
214,华硕ROG龙神360,100001108885,,2.83kg,,中国大陆,,360冷排,华硕（ASUS）ROG龙神360一体式CPU水冷散热器,121.8,,70mm,4pin,394x121x27mm,水冷,2000,12V,一体式水冷散热器,,RGB,华硕ASUS,29.7,AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,塑料,,,
215,ThermalrightFS140,100010498068,,1.91kg,,中国大陆,4热管,,,77.8,铝,160mm,4pin,140*121*158mm,风冷,1500,12V,风冷散热器,宽度大于210mm,无光,,25.6,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,金属,,回流焊工艺,铜底焊接
216,华硕ROG龙神360,100001108885,,2.83kg,,中国大陆,,360冷排,华硕（ASUS）ROG龙神360一体式CPU水冷散热器,121.8,,70mm,4pin,394x121x27mm,水冷,2000,12V,一体式水冷散热器,,RGB,华硕ASUS,29.7,AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,塑料,,,
217,酷冷至尊B360ARGB,100011674030,,2.5kg,,中国大陆,,360冷排,,62CFM±10%,铝,155mm,3pin,394x119.6x27.2mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,8-27dBA,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,,,,
218,bequietSILENTLOOP2360,10023762225888,申俊电脑专营店,2.0kg,,中国大陆,,360冷排,SILENTLOOP2360,,,52mm,4pin,390x120x52mm,水冷,2200,12V,一体式水冷散热器,宽度大于250mm,ARGB,其它,39.8,INTELLGA2066，AMDsTRX4，INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDTR4，AMDAM4,,Intel平台散热器,,
219,九州风神（DEEPCOOL）阿萨辛3代,55577082236,辉煌PC电脑配件专营店,2.075kg,,,,,,,,165mm,4pin,161×140×165mm,风冷,400~1400RPM±10%,12V,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,乔思伯TW2-360PRO,100012552968,,2.34kg,,中国大陆,无热管,360冷排,,21.4-42.8CFM(each),铝,61mm,4pin,394mm*119.2mm*27.5mm,水冷,800-1600rpm(±10%),12VDC,一体式水冷散热器,,ARGB,,18-26Dba(max),INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
222,华硕（ASUS）ROGRYUJIN360,10033420121513,华硕瑞达腾飞专卖店,10.0kg,,,,,,,,70mm,4pin,394x121x27mm,水冷,450~2000RPM+/-10%,12V,,,,,,,,,,
223,雅浚B3,100016046780,,0.96kg,,中国大陆,4热管,,B3,72CFM±10%,铝片+铜管,153mm,4pin,120x48x153(mm)±2mm,风冷,1500RPM±10%,12V,风冷散热器,宽度大于180mm,,,27dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,塑料,AMD平台CPU散热器,穿片工艺,热管直触
224,酷冷至尊B360ARGB,100011674030,,2.5kg,,中国大陆,,360冷排,,62CFM±10%,铝,155mm,3pin,394x119.6x27.2mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,8-27dBA,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,bequietSILENTLOOP2360,10023762225888,申俊电脑专营店,2.0kg,,中国大陆,,360冷排,SILENTLOOP2360,,,52mm,4pin,390x120x52mm,水冷,2200,12V,一体式水冷散热器,宽度大于250mm,ARGB,其它,39.8,INTELLGA2066，AMDsTRX4，INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDTR4，AMDAM4,,Intel平台散热器,,
228,航嘉（Huntkey）GX122系列,10021742678657,晨惠电脑配件专营店,500.00g,,,,,GX122,,,25mm,4pin,120*25mm,风冷,1200RPM±10%,12V,机箱风扇,,,,,,,机箱风扇,,
229,超频三超频三散热器CPU优惠套装,100022467668,,1.2kg,,中国大陆,4热管,其他规格冷排,,38.4-81,,157mm,4pin,130*76*157,风冷,800-1600,12V,风冷散热器,宽度大于180mm,无光,,18-28.6,INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,,,穿片工艺,热管直触
230,超频三东海X6,3311611,,1.0kg,,中国大陆,5热管,,东海X6,31.2-65.4,铝,150mm,4pin,135(L)*109(W)*150(H),风冷,风扇1：800~1600RPM±10%风扇2：1500RPM±10%,12V,风冷散热器,宽度大于180mm,单色光,超频三PCCOOLER,18-30.8,INTELLGA2066，AMD其他，INTEL其他，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,,穿片工艺,热管直触
231,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
232,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,九州风神玄刃猎户版/射手版多平台cpu散热器12CM静音cpu风扇玄刃射手版,10027175809332,思远车品优创店,1.0kg,,,,,1,,,,,,,,,,,,,,,,其他,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,酷冷至尊B360ARGB,100011674030,,2.5kg,,中国大陆,,360冷排,,62CFM±10%,铝,155mm,3pin,394x119.6x27.2mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,8-27dBA,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,,,,
236,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
237,九州风神大霜塔,689273,,1.32kg,,中国大陆,6热管,,大霜塔,,纯铝鳍片双塔,158mm,4pin,126X133X158mm,风冷,500~1500±10%RPM,12VDC,风冷散热器,宽度大于210mm,,九州风神DEEPCOOL,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,铜底焊接
238,酷冷至尊B360ARGB,100011674030,,2.5kg,,中国大陆,,360冷排,,62CFM±10%,铝,155mm,3pin,394x119.6x27.2mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,8-27dBA,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,,,,
239,ID-COOLINGAURAFLOWX120/240/360,10033098893315,灵竞DIY旗舰店,1.5kg,,,无热管,360冷排,AURAFLOW系列,74.5CFM,铝,27mm,4pin,276*120*27mm,水冷,700-2000RPM,12v,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,九州风神玄冰300,598826,,0.574kg,,中国大陆,3热管,,玄冰300,55.50CFM,铝,136mm,4pin,121X75.5X135.7mm,风冷,900±150～1600±10%RPM,12VDC,风冷散热器,宽度大于180mm,无光,九州风神DEEPCOOL,17.8~21dB(A),INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
243,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
244,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
245,爱国者（aigo）冰塔冰魄台式电脑机箱一体式水冷CPU散热器(PWM智能温控风扇/全平台支持)冰塔T120（白色极光版）,15929867174,兆方数码专营店,1.32kg,,中国大陆,,,冰塔T120极光版,,,其他,,153*120*27MM,,PWM800~2000RPM,12V,,,,,,,,,,
246,赛普雷（SOPLAY）冷山CPU散热器台式电脑风扇（四热管/12CM风扇）MT400256流光炫彩（仅支持INTEL平台）.,11664400523,寒山居电脑专营店,1.0kg,,,,,冷山,,铝,其他,4pin,其他,风冷,其他,其他,风冷散热器,,,,,,,Intel平台散热器,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
249,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,超频三巨浪120,3762171,,1.26kg,,中国大陆,无热管,120冷排,巨浪120GI-CL120VC,65.4,铝,27mm,4pin,153(L)×120(W)×27(H)mm,水冷,800–1600RPM±10%,12V,一体式水冷散热器,ITX机箱,RGB,超频三PCCOOLER,30.8,INTELLGA2066，AMD其他，INTEL其他，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,,回流焊工艺,铜底焊接
251,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
253,超频三大白鲨PRO,100014891782,,350.00g,,中国大陆,无热管,,大白鲨PRO,65.46CFM±10%,,70mm,3pin,125(L)*125(W)*70(H),风冷,1600RPM,12V,风冷散热器,ITX机箱,RGB,超频三PCCOOLER,29.8dbA±10%,INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,,,,
254,酷冷至尊B360ARGB,100011674030,,2.5kg,,中国大陆,,360冷排,,62CFM±10%,铝,155mm,3pin,394x119.6x27.2mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,8-27dBA,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,微星(MSI)寒冰240R/360R/280RCPU一体式水冷散热器ARGB新品K240/K360微星MAGCORELIQUID240R寒霜,10025920179055,蜀刀电脑DIY旗舰店,2.31kg,,,,240冷排,寒冰360R,,,27mm,3pin,274x120x27mm,水冷,500~2000RPM,12V,一体式水冷散热器,宽度大于210mm,ARGB,其它,,,,,,
260,九州风神（DEEPCOOL）阿萨辛3代,55577082236,辉煌PC电脑配件专营店,2.075kg,,,,,,,,165mm,4pin,161×140×165mm,风冷,400~1400RPM±10%,12V,,,,,,,,,,
261,乔思伯TW2-360PRO,100012552968,,2.34kg,,中国大陆,无热管,360冷排,,21.4-42.8CFM(each),铝,61mm,4pin,394mm*119.2mm*27.5mm,水冷,800-1600rpm(±10%),12VDC,一体式水冷散热器,,ARGB,,18-26Dba(max),INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
262,酷冷至尊B360ARGB,100011674030,,2.5kg,,中国大陆,,360冷排,,62CFM±10%,铝,155mm,3pin,394x119.6x27.2mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,8-27dBA,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,,,,
263,noctuaNF-A14PWM,2247584,,350.00g,,中国大陆,,,NF-A14PWM,,,,4pin,NA,风冷,1500RPM,12V,机箱风扇,宽度大于180mm,无光,,,,,,,
264,bequietSILENTLOOP2360,10023762225888,申俊电脑专营店,2.0kg,,中国大陆,,360冷排,SILENTLOOP2360,,,52mm,4pin,390x120x52mm,水冷,2200,12V,一体式水冷散热器,宽度大于250mm,ARGB,其它,39.8,INTELLGA2066，AMDsTRX4，INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDTR4，AMDAM4,,Intel平台散热器,,
265,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
266,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
267,超频三巨浪120,3762171,,1.26kg,,中国大陆,无热管,120冷排,巨浪120GI-CL120VC,65.4,铝,27mm,4pin,153(L)×120(W)×27(H)mm,水冷,800–1600RPM±10%,12V,一体式水冷散热器,ITX机箱,RGB,超频三PCCOOLER,30.8,INTELLGA2066，AMD其他，INTEL其他，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,,回流焊工艺,铜底焊接
268,航嘉（Huntkey）MVP海神X240/360,10028580961107,晨惠电脑配件专营店,3.0kg,,中国大陆,,360冷排,MVP海神X240/360,62CFM±10%,铝,155mm,3pin,394x119.6x27.2mm,水冷,650-1800RPM±10%,12VDC,一体式水冷散热器,,ARGB,,8-27dBA,,,,,
269,Thermaltake（Tt）CL-W158-PL12SW-A,4945641,,2.265kg,,中国大陆,,360冷排,Floe360,,CPU纯铜毛细热交换，36cm铝合金冷排,27mm,4pin,393x120x27mm,水冷,500~1400RPM,12V,一体式水冷散热器,,RGB,TT,,,,,,
270,超频三（PCCOOLER）偃月CPU水冷散热器115011512011静音am4一体式水冷套件超频三偃月240RGB双排多平台版本,30806110352,上海英耐数码专营店,1.76kg,,中国大陆,,,超频三偃月水冷散热器,,铝,55mm,4pin,水排规格：120*275*27mm,水冷,1000–2000RPM±10%,12V,一体式水冷散热器,宽度大于180mm,,,,,,,,
271,酷冷至尊MLW-D24M-A16PA-C1,100005187628,,1.775kg,,中国大陆,,240冷排,,,铝,其他,4pin,277x119.6x27mm,水冷,650-1600RPM±10%,12VDC,一体式水冷散热器,,ARGB,酷冷CoolerMaster,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,,,,
272,华硕ROG龙神360,100001108885,,2.83kg,,中国大陆,,360冷排,华硕（ASUS）ROG龙神360一体式CPU水冷散热器,121.8,,70mm,4pin,394x121x27mm,水冷,2000,12V,一体式水冷散热器,,RGB,华硕ASUS,29.7,AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,塑料,,,
273,九州风神（DEEPCOOL）阿萨辛3代,55577082236,辉煌PC电脑配件专营店,2.075kg,,,,,,,,165mm,4pin,161×140×165mm,风冷,400~1400RPM±10%,12V,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,九州风神堡垒240,100018080026,,2.255kg,,中国大陆,,240冷排,,,,71mm,4pin,86X75X71mm,水冷,500-1800±10%RPM,12V,一体式水冷散热器,宽度大于180mm,ARGB,,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，AMDFM2＋,金属,,,
276,九州风神堡垒/水元素幻彩120/240/360CPU一体式水冷散热器泄压冷排ARGB风扇堡垒360RGB版V2,69138161880,京天DIY电脑旗舰店,2.0kg,,中国大陆,,360冷排,120/240/360,85,铜,27mm,4pin,402X120X27（冷排尺寸）,水冷,500-1800±10%RPM,12VDC,,,RGB,,,,,,,
277,华硕ROG龙神360,100001108885,,2.83kg,,中国大陆,,360冷排,华硕（ASUS）ROG龙神360一体式CPU水冷散热器,121.8,,70mm,4pin,394x121x27mm,水冷,2000,12V,一体式水冷散热器,,RGB,华硕ASUS,29.7,AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,塑料,,,
278,ThermalrightFS140,100010498068,,1.91kg,,中国大陆,4热管,,,77.8,铝,160mm,4pin,140*121*158mm,风冷,1500,12V,风冷散热器,宽度大于210mm,无光,,25.6,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,金属,,回流焊工艺,铜底焊接
279,华硕ROG龙神360,100001108885,,2.83kg,,中国大陆,,360冷排,华硕（ASUS）ROG龙神360一体式CPU水冷散热器,121.8,,70mm,4pin,394x121x27mm,水冷,2000,12V,一体式水冷散热器,,RGB,华硕ASUS,29.7,AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，整合CPU主板,塑料,,,
280,九州风神大霜塔,689273,,1.32kg,,中国大陆,6热管,,大霜塔,,纯铝鳍片双塔,158mm,4pin,126X133X158mm,风冷,500~1500±10%RPM,12VDC,风冷散热器,宽度大于210mm,,九州风神DEEPCOOL,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,铜底焊接
281,华硕（ASUS）ROGRYUJIN360,10033420121513,华硕瑞达腾飞专卖店,10.0kg,,,,,,,,70mm,4pin,394x121x27mm,水冷,450~2000RPM+/-10%,12V,,,,,,,,,,
282,华硕（ASUS）龙神二代,10030711817241,华硕电脑配件专卖店,2.9kg,龙神二代,中国大陆,,360冷排,龙神二代,,,70mm,4pin,394x121x27mm,水冷,2000,12V,一体式水冷散热器,宽度大于250mm,RGB,华硕ASUS,,INTEL1151（九代）,,Intel平台散热器,,
283,酷冷至尊（CoolerMaster）ML360SUB-ZERO,10026068027466,PC大佬DIY电脑旗舰店,2.5kg,,,无热管,360冷排,ML360SUB-ZERO,59CFM(Max),650~1900RPM±10%,93mm,4pin,394x119.6X27.2mm,水冷,650~1900RPM±10%,12v,一体式水冷散热器,宽度大于210mm,无光,酷冷CoolerMaster,,INTELLGA1200,,Intel平台散热器,,
284,雅浚B3,100016046780,,0.96kg,,中国大陆,4热管,,B3,72CFM±10%,铝片+铜管,153mm,4pin,120x48x153(mm)±2mm,风冷,1500RPM±10%,12V,风冷散热器,宽度大于180mm,,,27dB(A),INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,塑料,AMD平台CPU散热器,穿片工艺,热管直触
285,九州风神玄冰300,598826,,0.574kg,,中国大陆,3热管,,玄冰300,55.50CFM,铝,136mm,4pin,121X75.5X135.7mm,风冷,900±150～1600±10%RPM,12VDC,风冷散热器,宽度大于180mm,无光,九州风神DEEPCOOL,17.8~21dB(A),INTEL1151（九代），AMD其他，INTEL其他，INTELLGA1200，INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,热管直触
286,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
287,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,九州风神大霜塔,689273,,1.32kg,,中国大陆,6热管,,大霜塔,,纯铝鳍片双塔,158mm,4pin,126X133X158mm,风冷,500~1500±10%RPM,12VDC,风冷散热器,宽度大于210mm,,九州风神DEEPCOOL,,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,塑料,,穿片工艺,铜底焊接
289,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,bequietSILENTLOOP2360,10023762225888,申俊电脑专营店,2.0kg,,中国大陆,,360冷排,SILENTLOOP2360,,,52mm,4pin,390x120x52mm,水冷,2200,12V,一体式水冷散热器,宽度大于250mm,ARGB,其它,39.8,INTELLGA2066，AMDsTRX4，INTEL1151（九代），INTELLGA1200，INTEL1151（八代），AMDTR4，AMDAM4,,Intel平台散热器,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,九州风神玄刃猎户版/射手版多平台cpu散热器12CM静音cpu风扇玄刃射手版,10027175809332,思远车品优创店,1.0kg,,,,,1,,,,,,,,,,,,,,,,其他,,
293,九州风神（DEEPCOOL）阿萨辛3代,55577082236,辉煌PC电脑配件专营店,2.075kg,,,,,,,,165mm,4pin,161×140×165mm,风冷,400~1400RPM±10%,12V,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,华硕ROGRYUJINII360,100021394448,,2.88kg,,中国大陆,无热管,360冷排,ROGRYUJINII360,71.6,铝,81mm,4pin,121x394x27mm,水冷,450~2000RPM?+/-10%,12V,一体式水冷散热器,,RGB,华硕ASUS,29.7,AMD其他，INTEL其他，AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，AMDFM2＋，整合CPU主板,塑料,,,
296,ThermalrightFS140,100010498068,,1.91kg,,中国大陆,4热管,,,77.8,铝,160mm,4pin,140*121*158mm,风冷,1500,12V,风冷散热器,宽度大于210mm,无光,,25.6,INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4,金属,,回流焊工艺,铜底焊接
297,华硕ROGRYUJINII360,100021394448,,2.88kg,,中国大陆,无热管,360冷排,ROGRYUJINII360,71.6,铝,81mm,4pin,121x394x27mm,水冷,450~2000RPM?+/-10%,12V,一体式水冷散热器,,RGB,华硕ASUS,29.7,AMD其他，INTEL其他，AMDsTRX4，INTELLGA2066，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDTR4，AMDAM4，AMDFM2＋，整合CPU主板,塑料,,,
298,酷冷至尊酷冷至尊海魔360ARGB水冷散热器+英特尔Inteli5-11600KF6核12线程CPU处理器,100019791952,,2.58kg,,中国大陆,,360冷排,,62CFM,,其他,4pin,394x119.6x27.2mm,水冷,650-1800RPM±5%,12VDC,一体式水冷散热器,,ARGB,,8-27dBA,INTELLGA1200，INTEL1151（九代），AMDAM4,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,九州风神（DEEPCOOL）玄冰400/大霜塔/冰凌/堡垒240/360一体式水冷风冷CPU散热器玄冰400K【多平台/四热管/幻彩风扇】,10025704801871,武极电脑DIY旗舰店,1.0kg,,,4热管,,玄冰400,74.34CFM,纯铜热管，铝鳍片,25mm,4pin,129X86X155mm,风冷,500~1500RPM±10%,12VDC（额定电压）,风冷散热器,宽度大于210mm,RGB,九州风神DEEPCOOL,17.8~30dB(A),,塑料,,穿片工艺,热管直触
303,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,超频三东海X6,3311611,,1.0kg,,中国大陆,5热管,,东海X6,31.2-65.4,铝,150mm,4pin,135(L)*109(W)*150(H),风冷,风扇1：800~1600RPM±10%风扇2：1500RPM±10%,12V,风冷散热器,宽度大于180mm,单色光,超频三PCCOOLER,18-30.8,INTELLGA2066，AMD其他，INTEL其他，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,,穿片工艺,热管直触
305,超频三东海X6,3311611,,1.0kg,,中国大陆,5热管,,东海X6,31.2-65.4,铝,150mm,4pin,135(L)*109(W)*150(H),风冷,风扇1：800~1600RPM±10%风扇2：1500RPM±10%,12V,风冷散热器,宽度大于180mm,单色光,超频三PCCOOLER,18-30.8,INTELLGA2066，AMD其他，INTEL其他，INTELLGA1200，INTEL1151（九代），INTEL1151（八代），AMDAM4，AMDFM2＋,,,穿片工艺,热管直触
306,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,酷冷至尊RR-T4V2-16PR-C2,2771147,,0.89kg,,中国大陆,4热管,,T400i,,4根直触热管/铝鳍片,157mm,4pin,80.5x120x157,风冷,600-1600RPM(PWM)±10%,12VDC,风冷散热器,,ARGB,,,INTELLGA1200，INTEL1151（九代），INTEL1151（八代）,金属,,穿片工艺,热管直触
308,酷冷至尊RR-T4V2-16PR-C2,2771147,,0.89kg,,中国大陆,4热管,,T400i,,4根直触热管/铝鳍片,157mm,4pin,80.5x120x157,风冷,600-1600RPM(PWM)±10%,12VDC,风冷散热器,,ARGB,,,INTELLGA1200，INTEL1151（九代），INTEL1151（八代）,金属,,穿片工艺,热管直触
309,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,酷冷至尊夜鹰多平台CPU散热器,849714,,250.00g,,中国大陆,无热管,,夜鹰,,"铝,塑胶",49mm,3pin,133.6x102x50mm,风冷,2500rpm±10%,12V,风冷散热器,ITX机箱,,酷冷CoolerMaster,,INTEL1151（九代），INTEL1151（八代），INTEL其他，AMDAM4，AMDFM2＋,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,,
